bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Tell me about yourself.,I live in Tokyo.,Hi! I'm Leo. Nice to meet you.,"I am Ken, and I like football.",I am a student. I like math.,My name is Ken. I am 11 years old.
What did you do yesterday?,I went to the park.,I helped my mom.,I played with my friends.,I watched a movie.,I studied math.
What was your favorite class today?,My favorite class was math.,I liked math today.,PE was my favorite.,Art was fun.,I enjoyed English.
Why do you like football?,Because I am good at it.,Because it is fun.,Because I can do it with friends.,Because it helps me relax.,Because I feel happy.
"Which is bigger, a chicken or a mouse?",A chicken is bigger.,A mouse is smaller.,The chicken.,The chicken is bigger than a mouse.,I think the chicken is bigger.
How do you feel today?,"A little tired, but okay.",I feel happy.,I feel tired.,I feel great.,I am happy today.
What are you going to do this weekend?,I will stay home and rest.,I am going to study.,I am going to see my friends.,I will play football.,I am going to visit the park.
Would you like some tomato?,"Yes, I love tomato.",Maybe later.,"Just a little, please.","Yes, please.","No, thank you."
Where is the library?,Go straight and turn left.,Across from the supermarket.,It is near the park.,I can show you.,It is next to the school.
Yuki lost a bag. What can you say?,Where did you last see it?,Was it in the classroom?,Let us ask the teacher.,Do not worry. We will find it.,I can help you look.
What do you think about this story?,"It is okay, but not my favorite.",I like it a lot.,I think it is useful.,It looks interesting.,I think it is nice.
What time do you usually wake up?,I wake up at eight on weekends.,Usually at half past six.,I wake up at seven.,I get up early.,Around 7:00 in the morning.
What are your plans for this evening?,I might visit the park.,I plan to rest and read.,I am going to run after dinner.,I will finish my homework first.,I am not sure yet.
"If it rains tomorrow, what will you do?",I will take an umbrella.,I will study at home.,"If it rains, I will stay home.",I will call my friend instead.,I will watch a movie indoors.
Do you think math is important?,Yes. Math is important for my future.,"Yes, because it helps me learn.","Yes, it is useful in daily life.","I think so, but it can be hard.",Not really. I prefer other subjects.
I feel nervous about the test. What should I do?,Study with a friend.,You should review a little every day.,Ask the teacher if you need help.,Try to sleep well tonight.,Take deep breaths and stay calm.
Can you look after my bag for a minute?,"Yes, leave it here.",Okay. I will watch it.,No problem.,"Sure, I can look after it.",Of course.
How is your group project going?,It is going well so far.,"It is a bit difficult, but okay.",We finished the first part.,We will present it next week.,We still need more ideas.
What should we do after school?,Why don't we go to the park?,How about studying together?,Maybe we can walk in the park.,Let's play football.,We could get some snacks.
What is Maya like?,Maya is friendly and kind.,"Maya is a bit quiet, but nice.",Maya loves football.,Maya is funny.,Maya works hard at school.
Have you ever visited Tokyo?,"Not yet, but I want to.",I hope I can visit Tokyo someday.,"No, I have never been there.","Yes, I went to Tokyo last year.","Yes, it was amazing."
The bus is late. What can we do?,Let us call someone.,Maybe we should walk.,We can take the next bus.,We can wait a few more minutes.,I can check the schedule on my phone.
Tell me about yourself.,Hi! I'm Nico. Nice to meet you.,My name is Omar. I am 11 years old.,"I am Omar, and I like football.",I am a student. I like math.,I live in Tokyo.
What did you do yesterday?,I played with my friends.,I studied math.,I went to the park.,I watched a movie.,I helped my mom.
What was your favorite class today?,Art was fun.,PE was my favorite.,I liked math today.,My favorite class was math.,I enjoyed English.
Why do you like football?,Because I feel happy.,Because it is fun.,Because it helps me relax.,Because I can do it with friends.,Because I am good at it.
"Which is bigger, a chicken or a mouse?",A chicken is bigger.,A mouse is smaller.,The chicken.,I think the chicken is bigger.,The chicken is bigger than a mouse.
How do you feel today?,I feel happy.,"A little tired, but okay.",I feel tired.,I am happy today.,I feel great.
