bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
What are your plans for this evening?,I am not sure yet.,I might visit the park.,I plan to rest and read.,I will finish my homework first.,I am going to run after dinner.
"If it rains tomorrow, what will you do?",I will take an umbrella.,"If it rains, I will stay home.",I will watch a movie indoors.,I will call my friend instead.,I will study at home.
Do you think math is important?,"Yes, it is useful in daily life.",Yes. Math is important for my future.,"Yes, because it helps me learn.",Not really. I prefer other subjects.,"I think so, but it can be hard."
I feel nervous about the test. What should I do?,Study with a friend.,Try to sleep well tonight.,You should review a little every day.,Take deep breaths and stay calm.,Ask the teacher if you need help.
Can you look after my bag for a minute?,"Yes, leave it here.","Sure, I can look after it.",Okay. I will watch it.,No problem.,Of course.
How is your group project going?,It is going well so far.,"It is a bit difficult, but okay.",We finished the first part.,We will present it next week.,We still need more ideas.
What should we do after school?,Maybe we can walk in the park.,We could get some snacks.,How about studying together?,Let's play football.,Why don't we go to the park?
What is Theo like?,"Theo is a bit quiet, but nice.",Theo is funny.,Theo works hard at school.,Theo loves football.,Theo is friendly and kind.
Have you ever visited Tokyo?,"Yes, I went to Tokyo last year.","Yes, it was amazing.",I hope I can visit Tokyo someday.,"No, I have never been there.","Not yet, but I want to."
The bus is late. What can we do?,Maybe we should walk.,We can wait a few more minutes.,I can check the schedule on my phone.,Let us call someone.,We can take the next bus.
How was your weekend?,I practiced football most of the time.,Not bad. I watched a few shows.,Pretty good. I hung out with friends.,"Honestly, I needed more sleep.",It was busy because of homework.
What do you think about online classes?,"They can be useful, though distractions are a problem.",It depends on the teacher and the subject.,I prefer face-to-face classes.,I like them when the lessons are clear.,"They are convenient, but I miss real classrooms."
The homework was a piece of cake for me. What about you?,It took me longer than I expected.,I got most of it right.,Same here. It was really easy.,I need to review a few parts again.,Not for me. I found it tricky.
Exams are coming. How are you preparing?,I made a revision timetable.,I review notes and practice past papers.,I am starting with the hardest topics.,I still need a better plan.,I study a little every evening.
Why do you enjoy football?,I feel more confident when I do it.,It gives me a break from screens.,It helps me relax after school.,I can meet people who like football too.,I have been doing it for years.
Social media is mostly a waste of time. Do you agree?,"I see your point, but it can also be useful.","Yes, if people scroll all day.",I partly agree. It depends how you use it.,Not completely. There are educational accounts too.,I disagree. It helps me stay connected.
My group member is not doing any work. What should I say?,You could talk to them politely first.,Explain what still needs to be finished.,"If it continues, tell the teacher.",Ask if they need help with their part.,Suggest a clear deadline for each task.
What do you want to do after high school?,Maybe I will study in Tokyo.,I want to travel and then go to university.,I want to study to become a teacher.,I hope to find a job I really like.,I am still deciding.
Should students have less homework?,"A little homework is fine, but not every night.",Yes. Quality matters more than quantity.,Students also need free time to rest.,I think projects are better than long worksheets.,It depends on the subject.
Want to hang out later?,Yes. Let’s meet at the café.,"Not today, but tomorrow works.",Maybe after I finish math.,Sure. What time works for you?,I can for about an hour.
What are your plans for this evening?,I will finish my homework first.,I might visit the park.,I plan to rest and read.,I am not sure yet.,I am going to run after dinner.
"If it rains tomorrow, what will you do?",I will watch a movie indoors.,"If it rains, I will stay home.",I will take an umbrella.,I will call my friend instead.,I will study at home.
Do you think math is important?,"I think so, but it can be hard.","Yes, it is useful in daily life.",Not really. I prefer other subjects.,Yes. Math is important for my future.,"Yes, because it helps me learn."
I feel nervous about the test. What should I do?,Take deep breaths and stay calm.,Try to sleep well tonight.,Study with a friend.,You should review a little every day.,Ask the teacher if you need help.
Can you look after my bag for a minute?,Of course.,"Sure, I can look after it.",Okay. I will watch it.,No problem.,"Yes, leave it here."
How is your group project going?,We finished the first part.,It is going well so far.,We will present it next week.,We still need more ideas.,"It is a bit difficult, but okay."
What should we do after school?,How about studying together?,Maybe we can walk in the park.,Let's play football.,We could get some snacks.,Why don't we go to the park?
What is Theo like?,"Theo is a bit quiet, but nice.",Theo works hard at school.,Theo is funny.,Theo loves football.,Theo is friendly and kind.
Have you ever visited Tokyo?,"Yes, it was amazing.","Not yet, but I want to.","Yes, I went to Tokyo last year.",I hope I can visit Tokyo someday.,"No, I have never been there."
The bus is late. What can we do?,Let us call someone.,I can check the schedule on my phone.,We can wait a few more minutes.,Maybe we should walk.,We can take the next bus.
How was your weekend?,I practiced football most of the time.,It was busy because of homework.,"Honestly, I needed more sleep.",Not bad. I watched a few shows.,Pretty good. I hung out with friends.
What do you think about online classes?,"They can be useful, though distractions are a problem.","They are convenient, but I miss real classrooms.",It depends on the teacher and the subject.,I prefer face-to-face classes.,I like them when the lessons are clear.
The homework was a piece of cake for me. What about you?,I got most of it right.,It took me longer than I expected.,Not for me. I found it tricky.,Same here. It was really easy.,I need to review a few parts again.
