bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Tell me about yourself.,Hi! I'm Leo. Nice to meet you.,I am a student. I like math.,I live in Tokyo.,"I am Hana, and I like football.",My name is Hana. I am 9 years old.
What did you do yesterday?,I went to the park.,I helped my mom.,I studied math.,I played with my friends.,I watched a movie.
What was your favorite class today?,I enjoyed geography.,My favorite class was math.,I liked math today.,Art was fun.,PE was my favorite.
Why do you like football?,Because I am good at it.,Because I feel happy.,Because it is fun.,Because I can do it with friends.,Because it helps me relax.
"Which is bigger, a dog or a mouse?",The dog is bigger than a mouse.,The dog.,A mouse is smaller.,A dog is bigger.,I think the dog is bigger.
How do you feel today?,I feel fine.,I am happy today.,I feel happy.,"A little tired, but okay.",I feel great.
What are you going to do this weekend?,I am going to study.,I will play football.,I am going to see my friends.,I am going to visit the park.,I will stay home and rest.
Would you like some water?,Maybe later.,"Yes, please.","No, thank you.","Just a little, please.","Yes, I love water."
Where is the library?,Across from the supermarket.,It is next to the school.,Go straight and turn left.,It is near the park.,I can show you.
Sam lost a bag. What can you say?,Do not worry. We will find it.,I can help you look.,Let us ask the teacher.,Was it in the classroom?,Where did you last see it?
What do you think about this story?,"It is okay, but not my favorite.",I think it is nice.,I like it a lot.,It looks interesting.,I think it is useful.
What time do you usually wake up?,I wake up at eight on weekends.,I wake up at seven.,Around 7:00 in the morning.,Usually at half past six.,I get up early.
Tell me about yourself.,My name is Lila. I am 9 years old.,"I am Lila, and I like football.",Hi! I'm Zoe. Nice to meet you.,I am a student. I like math.,I live in Tokyo.
What did you do yesterday?,I played with my friends.,I watched a movie.,I went to the park.,I studied math.,I helped my mom.
What was your favorite class today?,My favorite class was math.,I liked math today.,I enjoyed geography.,PE was my favorite.,Art was fun.
Why do you like football?,Because I am good at it.,Because I feel happy.,Because it is fun.,Because it helps me relax.,Because I can do it with friends.
"Which is bigger, a dog or a mouse?",I think the dog is bigger.,A dog is bigger.,The dog is bigger than a mouse.,The dog.,A mouse is smaller.
How do you feel today?,I feel great.,I feel fine.,"A little tired, but okay.",I feel happy.,I am happy today.
What are you going to do this weekend?,I am going to study.,I will play football.,I am going to see my friends.,I will stay home and rest.,I am going to visit the park.
Would you like some water?,Maybe later.,"Just a little, please.","No, thank you.","Yes, please.","Yes, I love water."
Where is the library?,I can show you.,Go straight and turn left.,It is next to the school.,It is near the park.,Across from the supermarket.
Omar lost a bag. What can you say?,Do not worry. We will find it.,I can help you look.,Where did you last see it?,Was it in the classroom?,Let us ask the teacher.
What do you think about this story?,I think it is nice.,I like it a lot.,It looks interesting.,"It is okay, but not my favorite.",I think it is useful.
What time do you usually wake up?,I get up early.,I wake up at seven.,Usually at half past six.,Around 7:00 in the morning.,I wake up at eight on weekends.
Tell me about yourself.,I am a student. I like math.,I live in Tokyo.,"I am Noor, and I like football.",Hi! I'm Noor. Nice to meet you.,My name is Noor. I am 9 years old.
What did you do yesterday?,I played with my friends.,I helped my mom.,I went to the park.,I watched a movie.,I studied math.
What was your favorite class today?,I enjoyed geography.,My favorite class was math.,PE was my favorite.,Art was fun.,I liked math today.
Why do you like football?,Because I am good at it.,Because it helps me relax.,Because it is fun.,Because I can do it with friends.,Because I feel happy.
