bot_message,reply_1,reply_2,reply_3,reply_4,reply_5
Hello! How are you today?,I am happy today.,"I am good, thank you.",I am a little tired.,I am fine.,I am okay.
What is your name?,I'm Ana. Nice to meet you.,I am Ana.,My name is Ana.,My name is Omar.,People call me Ana.
How old are you?,I'm 6.,I turned 6 this year.,I am 6 years old.,I am 7 years old.,6 years old.
Where are you from?,I live in Tokyo.,I am from Tokyo.,I am from Hanoi.,I come from Tokyo.,From Tokyo.
Do you like school?,School is fun.,"Yes, I do.",Yes!,I love school!,A little.
What is your favorite subject?,Math is my favorite.,I love PE.,My favorite subject is math.,Math.,I like math.
Who is your teacher?,Miss Nico.,Nico is my teacher.,Mr. Eli.,My teacher is Nico.,My teacher is kind.
What do you need for school?,I need my teacher.,My bag and my book.,I need a book and a pencil.,I need a book.,"A book, please."
What day is it today?,I think it is Monday.,Today is Sunday.,Monday.,Today is Monday.,It is Monday.
How is the weather?,It is sunny.,It is rainy.,It is cold.,The weather is sunny.,Okay.
What do you like to eat?,I love egg!,"Pizza, please.",I like fruit.,I like cake.,I like egg.
Who do you live with?,With my grandpa.,With my mom and dad.,I live with my mom.,I live with my family.,I live with my sister.
What do you like to do?,I like to play.,I love football.,I like football.,I like cooking.,I like reading books.
Where do you want to go?,To the beach.,"To the park, please.",I want to go to the park.,I want to go home.,To the park.
"Can you help me, please?","Yes, what do you need?","Yes, of course.",No problem.,"Okay, I can help.",Sure!
Hello! How are you today?,I am fine.,I am okay.,I am a little tired.,"I am good, thank you.",I am happy today.
What is your name?,I am Luca.,I'm Luca. Nice to meet you.,My name is Luca.,People call me Luca.,Okay.
How old are you?,I'm 6.,6 years old.,I am 7 years old.,I am 6 years old.,I turned 6 this year.
Where are you from?,I come from Tokyo.,I am from Hanoi.,I live in Tokyo.,I am from Tokyo.,From Tokyo.
Do you like school?,"Yes, I do.",School is fun.,A little.,I love school!,Yes!
What is your favorite subject?,Math is my favorite.,Math.,I like math.,I love PE.,My favorite subject is math.
Who is your teacher?,My teacher is kind.,Ana is my teacher.,Mr. Ana.,Miss Ana.,My teacher is Ana.
What do you need for school?,"A book, please.",I need a book.,I need a book and a pencil.,I need my teacher.,My bag and my book.
What day is it today?,Today is Sunday.,It is Monday.,Monday.,I think it is Monday.,Today is Monday.
How is the weather?,It is sunny.,It is cold.,The weather is sunny.,It is rainy.,Okay.
What do you like to eat?,I like cake.,I like egg.,I like fruit.,I love egg!,"Pizza, please."
Who do you live with?,I live with my mom.,With my mom and dad.,I live with my family.,With my grandpa.,I live with my sister.
What do you like to do?,I like cooking.,I like to play.,I like football.,I like reading books.,I love football.
Where do you want to go?,To the beach.,"To the park, please.",To the park.,I want to go home.,I want to go to the park.
"Can you help me, please?","Yes, of course.","Yes, what do you need?",No problem.,"Okay, I can help.",Sure!
Hello! How are you today?,I am a little tired.,I am fine.,I am okay.,"I am good, thank you.",I am happy today.
What is your name?,I am Lila.,People call me Lila.,My name is Lila.,My name is Sara.,I'm Lila. Nice to meet you.
How old are you?,I'm 6.,6 years old.,I am 6 years old.,I am 7 years old.,I turned 6 this year.
Where are you from?,I am from Tokyo.,I am from Hanoi.,I come from Tokyo.,From Tokyo.,I live in Tokyo.
Do you like school?,I love school!,"Yes, I do.",Yes!,A little.,School is fun.
What is your favorite subject?,Math.,My favorite subject is math.,I love PE.,I like math.,Math is my favorite.
Who is your teacher?,Luca is my teacher.,My teacher is kind.,Miss Luca.,Mr. Maya.,My teacher is Luca.
What do you need for school?,My bag and my book.,I need my teacher.,I need a book and a pencil.,"A book, please.",I need a book.
What day is it today?,Today is Monday.,Today is Sunday.,Monday.,I think it is Monday.,It is Monday.
How is the weather?,It is sunny.,It is rainy.,The weather is sunny.,It is cold.,Okay.
What do you like to eat?,"Pizza, please.",I like cake.,I love egg!,I like fruit.,I like egg.
Who do you live with?,With my mom and dad.,With my grandpa.,I live with my sister.,I live with my mom.,I live with my family.
What do you like to do?,I like reading books.,I like football.,I like cooking.,I like to play.,I love football.
Where do you want to go?,To the park.,I want to go home.,To the beach.,"To the park, please.",I want to go to the park.
"Can you help me, please?","Okay, I can help.",Sure!,"Yes, of course.",No problem.,"Yes, what do you need?"
Hello! How are you today?,I am happy today.,I am okay.,"I am good, thank you.",I am fine.,I am a little tired.
What is your name?,People call me Nico.,I am Nico.,My name is Nico.,I'm Nico. Nice to meet you.,My name is Ben.
How old are you?,I am 7 years old.,I'm 6.,6 years old.,I turned 6 this year.,I am 6 years old.
Where are you from?,I come from Tokyo.,I live in Tokyo.,From Tokyo.,I am from Tokyo.,I am from Hanoi.
Do you like school?,"Yes, I do.",Yes!,A little.,I love school!,School is fun.
What is your favorite subject?,My favorite subject is math.,Math is my favorite.,I like math.,I love PE.,Math.
Who is your teacher?,Miss Lila.,Mr. Nico.,Lila is my teacher.,My teacher is Lila.,My teacher is kind.
What do you need for school?,My bag and my book.,I need a book and a pencil.,I need a book.,I need my teacher.,"A book, please."
What day is it today?,It is Monday.,Today is Sunday.,Today is Monday.,I think it is Monday.,Monday.
How is the weather?,It is sunny.,It is cold.,It is rainy.,The weather is sunny.,Okay.
What do you like to eat?,I like egg.,"Pizza, please.",I love egg!,I like fruit.,I like cake.
Who do you live with?,With my grandpa.,I live with my mom.,With my mom and dad.,I live with my sister.,I live with my family.
What do you like to do?,I like football.,I like to play.,I love football.,I like reading books.,I like cooking.
Where do you want to go?,I want to go to the park.,To the park.,To the beach.,I want to go home.,"To the park, please."
"Can you help me, please?","Okay, I can help.","Yes, of course.","Yes, what do you need?",No problem.,Sure!
Hello! How are you today?,I am a little tired.,I am happy today.,I am fine.,I am okay.,"I am good, thank you."
